,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
5,,,,,,8.5,,2.5,,,2,2.75
6,,,,,,,4,5,,1.5,,3.5
7,6.5,,,,5.5,,2.5,2,3.5,,,2
8,1,2,,,7,0.5,,,,2.5,,
9,,,,,,,3.5,,1,0.5,,4
10,,,,,,,,,,,1,
11,3,,,,,2.75,,,3.5,,,3
12,,3.5,,,,,2.5,0.5,0.5,0.5,,2.5
13,,3,1,,,6.25,,,,,,15
14,,,,,,3.75,,13.5,,,,9
15,5,2.5,,,,1.5,,,,,,6.5
16,,,,,,,5,,,,1,29.5
17,2,,,,,,1.5,,,,,11.5
18,,,3,,,4.5,,,4,1.5,,7
19,,4.5,,,,4,9.5,,1,5,,5
20,,,,,,1,,,,3,,6.5
21,,9,,,,,11.5,,0.5,,,
22,,,,,,,1,,,,3,3.5
23,,2,,,,,,3,,,,
24,1,,,,,,,1,,1.75,,5
25,,,,,,,3,6,,1.25,,
26,5.5,0.5,,,,,,3.5,,,,
27,2,1.5,,,3.25,,,6.5,,2.25,,
28,,5,,,,,,,,13,,
29,,,,,,,,,,,3,1.25
30,,,1,,2.5,,,,,,,
31,,,1,,0.5,,,,,2.5,,8
1,,,,,1.5,,,5,,,8,5
2,9.5,,,,0.5,,2,5,,3,2.5,6
3,2,,,,,,0.5,,,14,3.5,8
4,,,4,1,,,1,12,,3,4.5,5.5
5,1,14.5,2,,1.5,3,,1,,,2,12.5
6,,,,,4,,3,0.5,,,9.5,
7,2,,2.5,,2.5,6,4,,,5,,10
8,,,,,2,,2.5,,,13,,
9,1,,,,2.5,,,,,,,
10,,,,7,5,3,0.5,,,5,5,3.5
11,,,,1,,5,,,2,31.5,1,
12,,,,4.5,,,,,1,,,
13,1,6.5,,,,3.5,11,4,1,4,,5.5
14,,2.5,,1,,3,8.5,,,1.75,,10
15,,,,,2,,1,4.5,,,,4
16,,,,,,3,,,,2,,2
17,,,,3,1,,,,,9,8.5,2.5
18,1,,10,,0.5,12,,,,1,,
19,,2,,9,4.5,,,,,3,,14
20,,,,3.5,,,,,,,,5
21,1.5,,,2,16.5,3,,,1,,1,
22,,,0.5,3.5,,,,,,,,11.5
23,,1.5,,12,,,,,7,2,14,0.5
24,1,,,12.5,,6,,4.5,13,,11.5,
